"description","dataelement_formname","dataelement_uid",
"Check for availability and use","10.1.7 5. Are Goggles and face shield available and correctly used?","mSmtmw09qqY",
"Check for availability and use","10.1.7 5. Are Goggles and face shield available and correctly used?","mSmtmw09qqY",
,"10.1.7 5. Are Goggles and face shield available and correctly used?","KtqattlRed1",
"Check for availability and use of PPE in related areas","10.1.7 6. Are Boots and caps available and correctly used?","nf4WhoXoOtq",
,"10.1.7 6. Are Boots and caps available and correctly used?","AXjG30ps3os",
"Check for availability and use","10.1.7 6. Are Boots and caps available and correctly used?","a6oSfrnY0Dl",
"Check for availability and use","10.1.7 6. Are Boots and caps available and correctly used?","a6oSfrnY0Dl",
,"10.1.8 1. Does the health facility have a washing machine?","eCnXysSyNt8",
,"10.1.8 1. Does the laundry have a washing slab","vpRXZUnKtge",
,"10.1.8 1. Does the laundry have a washing slab","vpRXZUnKtge",
,"10.1.8 1. Does the laundry have a washing slab","XxllROMCk5y",
"Check (non-sterile linen) moved, washed, ironed before use  Yes","10.1.8 2. Does the facility handle linen according to IPC guidelines","NeOvvWb4owp",
"Check (non-sterile linen)moved, washed, ironed-before use","10.1.8 2.Does the facility handlelinen according to IPC guidelines","q9sj8u0LKxh",
"Check (non-sterile linen)moved, washed, ironed before use","10.1.8 2.Does the facility handlelinen according to IPC guidelines","hTiuE8zIefR",
"Check (non-sterile linen)moved, washed, ironed-before use","10.1.8 2.Does the facility handlelinen according to IPC guidelines","q9sj8u0LKxh",
,"10.1.8 3. Is heavily soiled linen decontaminated with 0.5% chlorine?","eKUOjHvbDbJ",
"Note: if hand washing is to be done, then-decontamination is required for all linen-irrespective of whether soiled or not.","10.1.8 3. Is heavily soiled linen decontaminated with 0.5% chlorine?","MX1JzY0jTEI",
"Note: if hand washing is to be done, then decontamination is required for all linen irrespective of whether soiled or not.","10.1.8 3. Is heavily soiled linen decontaminated with 0.5% chlorine?","uJ25aUVqXCf",
"Note: if hand washing is to be done, then-decontamination is required for all linen-irrespective of whether soiled or not.","10.1.8 3. Is heavily soiled linen decontaminated with 0.5% chlorine?","MX1JzY0jTEI",
"OR a waste removal and disposal contract?","10.2.1 1. Is there a functional demonteforte incinerator and placenta pit"," OR a waste removal and disposal contract?","zF5K1kMEkr1"
"Refer- National Standards and Procedures for-Healthcare Waste Management in Tanzania-2006","10.2.1 1. Is there a functional incinerator OR burning pit, and placenta pit; OR a waste removal and disposal contract?","tYPKareTJQV",
"Refer- National Standards and Procedures for-Healthcare Waste Management in Tanzania-2006","10.2.1 1. Is there a functional incinerator OR burning pit, and placenta pit; OR a waste removal and disposal contract?","tYPKareTJQV",
"Refer- National Standards and Procedures for Healthcare Waste Management in Tanzania 2006","10.2.1 1. Is there a functional incinerator OR burning pit, and placenta pit; OR a waste removal and disposal contract?","v4viGkX6SaM",
"Check and observe their condition: must be fenced, and no sharps visible after disposal","10.2.1 2. Are the facilities for disposal of healthcare waste well kept?","lZWyjfOpgOR",
"Check and observe their condition: must be fenced, and no sharps visible after disposal","10.2.1 2.Are the facilities for disposal of healthcare waste well kept?","IZhP4guGN0i",
"Check and observe their condition: must be-fenced, and no sharps visible after disposal","10.2.1 2.Are the facilities for disposal of healthcare waste well kept?","u3iUGoAnaAy",
"Check and observe their condition: must be-fenced, and no sharps visible after disposal","10.2.1 2.Are the facilities for disposal of healthcare waste well kept?","u3iUGoAnaAy",
"Ask facility manager. And verify documentation.","10.2.2 1. Are any staff trained on waste management?","ysUS4OrcSdx",
"Ask facility manager. And verify-documentation.","10.2.2 1. Are any staff trained on waste management?","PwCBCaKwxtK",
"Ask facility manager. And verify documentation.","10.2.2 1. Are any staff trained on waste management?","PB1WeXSMQvC",
"Ask facility manager. And verify-documentation.","10.2.2 1. Are any staff trained on waste management?","PwCBCaKwxtK",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 1. Disposable colour coded bin liners","CY9KmuVth48",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 1. Disposable colour coded bin liners","CY9KmuVth48",
,"10.2.3 1. Disposable colour coded bin liners","M4U2R8gUsGH",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 1. Is waste segregated using disposable colour-coded bin liners?","Hsb1ElDKOEC",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 2. Are colour coded bins available for waste segregation in all service areas?","i9mDXbUhZSU",
,"10.2.3 2. Colour coded bins","QyPGCTx1ehu",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 2. Colour coded bins","CYaK1L4vMgd",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 2. Colour coded bins","CYaK1L4vMgd",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 3. Is there a stainless steel bin for transporting placentas the placenta pit?","gn2r0KTZBkY",
,"10.2.3 3. Stainless steel bin for transporting placentas to placenta pit.","gm4Tcbj7mft",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 3. Stainless steel bin for transporting placentas to placenta pit.","RTZVORW2oKw",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 3. Stainless steel bin for transporting placentas to placenta pit.","RTZVORW2oKw",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 4. Are safety / sharps boxes available in use in the relevant service areas?","v5NIuM3IkxH",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 4. Safety/ sharps boxes","Y90YZqZ12Q0",
"Check if the facility has containers for waste segregation in all service areas","10.2.3 4. Safety/ sharps boxes","Y90YZqZ12Q0",
,"10.2.3 4. Safety/ sharps boxes","B1eMp13rh7r",
,"11.1.1 1. Is the outpatient register filled correctly?","KntVSN4ffFK",
,"11.1.1 1. Review a sample of 5 cases in the outpatient register to check whether the information is filled according to MTUHA manual","RNna8BB0vBz",
,"11.1.1 1. Review a sample of 5 cases in the outpatient register to check whether the information is filled according to MTUHA manual","bcuccYge4A8",
,"11.1.1 1. Review a sample of 5 cases in the outpatient register to check whether the information is filled according to MTUHA manual","RNna8BB0vBz",
"Check for presence of registration and up to date license for Private HFs as per Private Health Advisory Board OR Msimbo number for Public Facilities","1.1.1 1. Does the health facility have a valid license for provision of services?","nrIqCjxyo2c",
,"11.1.2 1 . Uncomplicated malaria treated according to standard treatment guidelines ?","qicriaD4hBb",
,"11.1.2 1. Uncomplicated malaria treated according to standard treatment guidelines ?","l089cGxOXbz",
"Sample 3 new cases from the outpatient register for each of the following tracer conditions","11.1.2 1. Uncomplicated malaria treated according to standard treatment guidelines ?","rtvVUHzND5L",
"Sample 3 new cases from the outpatient register for each of the following tracer conditions","11.1.2 1. Uncomplicated malaria treated according to standard treatment guidelines ?","rtvVUHzND5L",
,"11.1.2 2. Pneumonia treated according to standard treatment guidelines ?","URSdqb0ZZ6e",
"Sample 3 new cases from the outpatient register for each of the following tracer conditions.","11.1.2 2. Pneumonia treated according to standard treatment guidelines ?","S7uhLiBWh7Z",
"Sample 3 new cases from the outpatient register for each of the following tracer conditions.","11.1.2 2. Pneumonia treated according to standard treatment guidelines ?","S7uhLiBWh7Z",
,"11.1.2 2. Pneumonia treated according to standard treatment guidelines ?","Cu0u8aBw3oZ",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices:","11.1.3 1. From observation, was the provider friendly and courteous?","DHidSIEyq2p",
"Verify that antiseptics and disinfectants are-stored in lockable cupboard, in the lowest-shelves, away from light; antiseptics are-prepared in","11.1.3 1. In observed cases, is Provider  friendly and courteous?","BPeGkcriWHe",
"Verify that antiseptics and disinfectants are-stored in lockable cupboard, in the lowest-shelves, away from light; antiseptics are-prepared in","11.1.3 1. In observed cases, is Provider  friendly and courteous?","BPeGkcriWHe",
,"11.1.3 1. In observed cases, is Provider friendly and courteous?","Lz1ouwRxtmY",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices:","11.1.3 2.  From observation, is a full history taken?","UrYMtQflQCa",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 2. In observed cases, doed Full history taken?","chSQPYYTriy",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 2. In observed cases, doed Full history taken?","chSQPYYTriy",
,"11.1.3 2. In observed cases, has  Full history taken?","sCrqg0QqktE",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices:","11.1.3 3. From observation, was there full examination of the patient?","wZH16vKMLIE",
,"11.1.3  3.In observed cases did Patient fully examin?","LrRjoNDx0WR",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 3. In observed cases did Patient fully examin?","vnJCy1lauRP",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 3. In observed cases did Patient fully examin?","vnJCy1lauRP",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices:","11.1.3 4. From observation, was the patient informed about the diagnosis and treatment?","Df02SiL2642",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 4. In observed cases, did patient  Inform about their diagnosis and treatment?","ZjktYjv7CQO",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 4. In observed cases, did patient  Inform about their diagnosis and treatment?","ZjktYjv7CQO",
,"11.1.3 4. In observed cases, did patient Inform about their diagnosis and treatment?","EF629DcLCgK",
,"11.1.3 5. From observation, was sufficient time given for the consultation?","yyNnzfDmR3K",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 5. In observed cases, is  there Sufficient time for the contact ?","hDhWkUvZQN4",
"Observe three cases to determine whether health care provider interaction with the patient follows good practices","11.1.3 5. In observed cases, is  there Sufficient time for the contact ?","hDhWkUvZQN4",
,"11.1.3 5. was there Sufficient time for the contact?","PviYUiT77rM",
"Check for presence of registration and up to date license for Private HFs as per Private Health Advisory Board OR Msimbo number for Public Facilities","1.1 1. Does the health facility have a valid license for provision of services?","HFuKJLbuDEB",
"Check for presence of registration and up to date license for Private HFs as per Private Health Advisory Board OR Msimbo number for Public Facilities","1.1 1. Does the health facility have a valid license for provision of services?","hAXj85KVihK",
"Check for presence of registration and up to date license for Private HFs as per Private Health Advisory Board OR Msimbo number for Public Facilities","1.1 1. Does the health facility have a valid license for provision of services?","hAXj85KVihK",
,"11.2.1 1. Are routine antenatal services provided as required?","WANPJD593gR",
"Review 3 ANC visits to verify cards are filled-properly, andpackage of services is-provided?","11.2.1 1.Are routine antenatal services provided as required?","jsk380tR75y",
"Review 3 ANC visits to verify cards are filled-properly, andpackage of services is-provided?","11.2.1 1.Are routine antenatal services provided as required?","jsk380tR75y",
"Review 3 ANC visits to verify cards are filled properly, andpackage of services is provided?","11.2.1 1.Are routine antenatal services provided as required?","WfkFhIcjt5Q",
"Check for following 3 items","11.2.1 2. Are ANC guidelines, SOPs, checklist or job aids including wall charts available for reference?","cRAJVCJvdmW",
,"11.2.1 2.Are ANC guidelines, SOPs, checklist or job aids including wall charts available for reference?","eXS1PejQK8F",
,"11.2.1 2.Are ANC guidelines, SOPs, checklist or job aids including wall charts available for reference?","NbZHBFzbBrR",
,"11.2.1 2.Are ANC guidelines, SOPs, checklist or job aids including wall charts available for reference?","NbZHBFzbBrR",
"Check for following 3 items","11.2.1 3. Is equipment available and functioning?","qjLbcLSGBPV",
,"11.2.1 3. Is equipment available and functioning?","udQna7WIpSC",
"Check for following 3 items (i. BP machine (ii. Foetoscope (iii. Adult weighing scale","11.2.1 3. Is equipment available and functioning?","jaPaLd0Uq9n",
"Check for following 3 items","11.2.1 3. Is equipment available and functioning?","qjLbcLSGBPV",
"If applicable, ask the facility manager to show you the service agreement","1.1.2 1. Does the facility have a service agreement with the government?","CPcWUiZS0Bj",
"Check and review records of issues in the previous week","11.2.2 1. Are all family planning methods offered according to level of health facility and expertise?","IKlD4heC5ST",
"Check and review records of issues in the previous week","11.2.2 1.Are allfamily planning methods offered according to level of health facility and expertise?","rymZrIGBVtf",
"Check and review records of issues in the-previous week","11.2.2 1.Are allfamily planning methods offered according to level of health facility and expertise?","mPSG3Au1LpI",
"Check and review records of issues in the-previous week","11.2.2 1.Are allfamily planning methods offered according to level of health facility and expertise?","mPSG3Au1LpI",
"Do exit interviews of threefamily planning-clients to ascertain informed choice of-family planning method","11.2.2 2.Are family planning methods are offered according to informed choice of client?","c33DSh2HcnP",
"Do exit interviews of threefamily planning-clients to ascertain informed choice of-family planning method","11.2.2 2.Are family planning methods are offered according to informed choice of client?","c33DSh2HcnP",
"Do exit interviews of threefamily planning clients to ascertain informed choice of family planning method","11.2.2 2.Are family planning methods are offered according to informed choice of client?","FEqua6d15iK",
"Do exit interviews of three family planning clients to ascertain informed choice of family planning method  Yes","11.2.2 2.Are family planning methods offered according to informed choice of client?","upnlCH9TYUD",
,"11.2.3 1. Are the national guidelines for child immunization available for reference?","AQAjEh2wqzu",
,"11.2.3 1. Are the national guidelines for child immunization available for reference?","MH5keJG3czH",
,"11.2.3 1. Are the national guidelines for child immunization available for reference?","MH5keJG3czH",
,"11.2.3 1. Are the national guidelines for child immunization available for reference?","IFwwl8kiWfJ",
,"11.2.3 2. Has any healthcare worker or provider(s) of immunization services received any training in child immunization","j06MtSe2O0L",
,"11.2.3 2. Has any healthcare worker or provider(s) of immunization services received any training in child immunization","j06MtSe2O0L",
,"11.2.3 2. Has any healthcare worker or provider(s) of immunization services received any training in child immunization services in the last two years?","EbDF3Q2FxxA",
,"11.2.3 2. Has any healthcare worker or provider(s) of immunization services received any training in child immunization services in the last two years?","M9cxp7N0pmf",
,"11.2.3 3. Is the following cold chain equipment available and working on the day?","MlEMFsD5vC2",
,"11.2.3 3. Is the following cold chain equipment available and working on the day? (i. Functional refrigerator (standard vaccine refrigerator) (ii. Cold boxes (iii. Power source (solar / generator / liquid paraffin, gas) (iv. The","unSQ8CSwfZT",
,"11.2.3 3. Is the following cold chain equipment available and working on the day? (i. Functional refrigerator (standard vaccine refrigerator) (ii. Cold boxes (iii. Power source (solar / generator / liquid paraffin, gas) (iv. The","unSQ8CSwfZT",
,"11.2.3 3. Is the following cold chain equipment available and working on the day of assessment? (i. Functional refrigerator (standard vaccine refrigerator) (ii. Cold boxes (iii. Power source (solar / generator / liquid paraffin,","Xgc8HCyuLDO",
,"11.2.3 4. Are the following vaccines available and usable on the day?","LI6ySuTYMKb",
,"11.2.3 4. Are the following vaccines available and usable on the day?(i. BCG ( ii. Polio ( iii. Measles and Rubella ( iv. Pentavalent ( v. Rotavirus (vi. Pneumococcal Vaccine (PCV 13) ( vii. Tetanus Toxoid ( viii. Human Papil","JTHuvT1PR1L",
,"11.2.3 4. Are the following vaccines available and usable on the day?  (i.BCG (ii.Polio (iii.Measles and Rubella (iv.Pentavalent (v.Rotavirus (vi. Pneumococcal Vaccine (PCV 13) (vii. Tetanus Toxoid (viii. Human Papilloma Virus","RMP5XnCk3tN",
,"11.2.3 4. Are the following vaccines available and usable on the day?  (i.BCG (ii.Polio (iii.Measles and Rubella (iv.Pentavalent (v.Rotavirus (vi. Pneumococcal Vaccine (PCV 13) (vii. Tetanus Toxoid (viii. Human Papilloma Virus","RMP5XnCk3tN",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 10. Caesarean section","b2wFotObPFj",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 10. Caesarean section","b2wFotObPFj",
"Check if the facility is able to provide the following interventions on the day?","11.2.4  1. Does the facility provide Parenteral administration of antibiotics (IV or IM)  interventions on the day?","jChYDvw5qgV",
,"11.2.4 1. Parenteral administration of antibiotics (IV or IM)","GZygJJc5Es2",
"Check if the facility is able to provide the-following interventions on the day?","11.2.4 1.Parenteral administration of antibiotics (IV or IM)","rMsrbcvVrFf",
"Check if the facility is able to provide the-following interventions on the day?","11.2.4 1.Parenteral administration of antibiotics (IV or IM)","rMsrbcvVrFf",
,"11.2.4 2. Does the facilty provide Parenteral administration of oxytocic (IV or IM) interventions on the day?","KYJeSwBMl5X",
,"11.2.4 2. Parenteral administration of oxytocic (IV or IM)","dYjvLBS43jE",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 2.Parenteral administration of oxytocic (IV or IM)","onfvdWfKMYZ",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 2.Parenteral administration of oxytocic (IV or IM)","onfvdWfKMYZ",
,"11.2.4 3. Does the facility provide Parenteral administration of anticonvulsant (magnesium sulphate) for hypertensive disorders of pregnancy (IV or IM) interventions on the day?","oW1JCSSB1q3",
,"11.2.4 3. Parenteral administration of anticonvulsant (magnesium sulphate)for hypertensive disorders of pregnancy (IV or IM)","itdsFoLMnyU",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 3.Parenteral administration of anticonvulsant (magnesium sulphate)for hypertensive disorders of pregnancy (IV or IM)","sOAxDc3pEG5",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 3.Parenteral administration of anticonvulsant (magnesium sulphate)for hypertensive disorders of pregnancy (IV or IM)","sOAxDc3pEG5",
,"11.2.4 4. Assisted vaginal delivery (vacuum extraction)","C2qVVXD3HsS",
,"11.2.4 4.  Does the facility provide Assisted vaginal delivery (vacuum extraction) interventions on the day?","Dlvvmr1gejB",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 4. for hypertensive disorders of pregnancy (IV or IM)","zKKpNW185tG",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 4. for hypertensive disorders of pregnancy (IV or IM)","zKKpNW185tG",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 5. Assisted vaginal delivery (vacuum extraction)","hHowzrPZhTc",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 5. Assisted vaginal delivery (vacuum extraction)","hHowzrPZhTc",
,"11.2.4 5. Does the facilty provide  Manual removal of placenta interventions on the day?","XzwlL6vYZO7",
,"11.2.4 5. Manual removal of placenta","JIOGQbtk0EL",
,"11.2.4 6. Does the facility provide  Manual Vacuum Aspiration (MVA)/ Post Abortion Care (PAC) interventions on the day?","djp1B6bwuZX",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 6. Manual removal of placenta","y52ba2DeaFs",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 6. Manual removal of placenta","y52ba2DeaFs",
,"11.2.4 6. Manual Vacuum Aspiration (MVA)/ Post Abortal Care (PAC)","pbAiao7MC54",
,"11.2.4 7. Does the facility provide Neonatal resuscitation/Penguin sucker interventions on the day?","prS7eXb9NJb",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 7. Manual Vacuum Aspiration (MVA)/ Post Abortal Care (PAC)","CONAi2bQasF",
"Check if the facility is able to provide the following interventions on the day?","11.2.4 7. Manual Vacuum Aspiration (MVA)/ Post Abortal Care (PAC)","CONAi2bQasF",
,"11.2.4 7.  Neonatal resuscitation/Penguin sucker","efbqfWa8Zjl",
,"11.2.4 8. Blood transfusion","c9FnNgHldgb",
